"raceId","driverId","mean_lap_time","total_pit_stops"
846,18,99753.217948718,3
846,20,99722.7307692308,1
846,22,101417.337662338,2
846,24,104285.333333333,1
846,30,83076.625,1
846,39,105871.945945946,2
846,67,101423.857142857,2
846,153,84995.3484848485,2
846,155,100067.807692308,1
846,808,83704.0895522388,1
846,813,101439.219178082,2
846,814,102576.973684211,3
846,816,104241.8,2
847,2,243031.618181818,2
847,3,210428.442857143,4
847,4,320540.527777778,3
847,5,379323.607142857,1
847,10,213941.768115942,2
847,13,210182.314285714,4
847,15,213946.550724638,3
847,16,262512.387755102,4
847,17,209905.214285714,3
847,18,209707.671428571,6
847,20,209746.371428571,3
847,22,210352.2,4
847,24,213813.594202899,3
847,30,209910.8,4
847,37,210616.342857143,2
847,39,213923.15942029,2
847,67,210379.9,4
847,153,210221.442857143,3
847,155,210182.957142857,2
847,808,209999.028571429,2
847,813,230002.655737705,5
847,814,216112.776119403,4
847,816,213936.985507246,5
848,1,105655.421052632,3
848,2,107004.946428571,3
848,3,106565.947368421,3
848,4,105036.140350877,3
848,5,108870.454545455,3
848,10,109854.363636364,2
848,13,105752.175438596,3
848,15,109560.290909091,2
848,16,106855,3
848,17,105323.228070175,3
848,18,105898.842105263,3
848,20,104845.070175439,3
848,22,107216.892857143,3
848,24,110789.5,3
848,30,107630.714285714,3
848,39,112561.944444444,3
848,67,107238.982142857,3
848,153,106846.160714286,2
848,155,107366.035714286,2
848,808,107340.071428571,3
848,813,107951.928571429,3
848,814,107274.607142857,3
848,815,107125.517857143,1
848,816,110230,2
849,1,102888.115384615,3
849,2,103783.423076923,2
849,3,103497.326923077,2
849,4,102330.692307692,3
849,10,107369.16,2
849,13,102888.576923077,3
849,16,103863.615384615,3
849,17,102656.596153846,3
849,18,104280.743589744,3
849,20,102648.211538462,3
849,22,104358.274509804,2
849,24,108062.82,2
849,30,103829,3
849,67,109193.76,2
849,153,103852,2
849,155,111100.913043478,2
849,808,103882.25,2
849,813,104374.470588235,3
849,814,105361.411764706,3
849,815,103592.038461538,2
849,816,107907.62,2
849,817,109866.653061224,2
850,1,97505.5666666667,3
850,3,99255.1355932203,3
850,4,97571.9,3
850,5,101566.913793103,2
850,10,103013.947368421,2
850,13,98376.4333333333,3
850,16,98942.3666666667,2
850,17,97668.7,3
850,18,99700.4285714286,1
850,20,98304.25,3
850,24,103110.27027027,1
850,30,99423.5084745763,3
850,67,100555.830508475,2
850,153,99907.9830508475,2
850,155,99573.5762711864,2
850,808,99578.9830508475,2
850,812,105481.089285714,3
850,813,100022.355932203,2
850,814,99915.9322033898,2
850,815,99805.2711864407,2
850,816,103195.175438596,2
850,817,103652.350877193,2
851,1,92152.5,6
851,2,101949.782608696,2
851,3,93546.8985507246,4
851,4,91745.0857142857,4
851,5,97977.0363636364,5
851,10,97245.1363636364,3
851,13,92650.1857142857,4
851,15,107424.882352941,1
851,16,94995.0147058823,4
851,17,92172.5571428571,5
851,18,91461.9571428571,3
851,20,91513.2142857143,3
851,22,94460.2205882353,5
851,24,99069.4923076923,5
851,30,98919.4615384615,2
851,67,93538.4637681159,3
851,153,93649.3768115942,3
851,155,93933.2898550725,3
851,808,93963.6666666667,4
851,813,95157.9705882353,5
851,814,93524.9565217391,3
851,815,95034.1176470588,4
851,816,98767.3230769231,4
851,817,97841.3787878788,3
852,1,118291.083333333,1
852,3,119399.25,2
852,4,118588.977272727,2
852,5,121454.790697674,3
852,10,122658.790697674,4
852,13,119794.75,3
852,15,121297.046511628,2
852,16,119650.136363636,2
852,17,118378.045454545,2
852,18,118512.772727273,3
852,20,118293.022727273,3
852,22,121455.674418605,3
852,24,123565.23255814,2
852,30,119371.75,3
852,155,120383.386363636,2
852,808,119927.5,2
852,811,120406.318181818,3
852,813,120057,2
852,814,120201.977272727,2
852,815,127245.037037037,3
852,816,122619.23255814,2
852,817,123046.076923077,1
853,1,91765.8301886792,2
853,4,91756.2452830189,2
853,5,95040.6274509804,2
853,10,96016.568627451,2
853,13,92248.3962264151,2
853,15,95651.7450980392,2
853,18,91618.1509433962,2
853,20,91437.2075471698,2
853,22,94200.8269230769,2
853,30,92053.7547169811,2
853,67,93655.6730769231,2
853,153,93363.2884615385,2
853,155,99015.6190476191,2
853,811,93455.5192307692,3
853,813,93899.4038461538,2
853,814,93438.8653846154,2
853,817,126397.487179487,2
854,1,118270.868852459,5
854,3,119126.383333333,3
854,4,118068.950819672,3
854,5,122389.440677966,3
854,13,119139.1,4
854,15,126622.191489362,3
854,16,119132.75,2
854,17,117639.93442623,3
854,18,117188.426229508,3
854,20,117159.950819672,3
854,22,119596.783333333,2
854,24,127208.140350877,4
854,30,118599.857142857,2
854,67,119332.35,3
854,153,122279.392857143,3
854,155,121700.220338983,4
854,808,122646.610169492,3
854,811,122010.338983051,4
854,813,119322.2,3
854,814,118980.721311475,2
854,815,119177.55,2
854,816,123189.915254237,2
854,817,126074.035087719,3
855,1,103352.735849057,3
855,3,103731.113207547,3
855,4,102916.735849057,3
855,5,104551.905660377,3
855,10,107865.039215686,3
855,13,103427.679245283,3
855,15,104708.811320755,3
855,16,103922.150943396,3
855,17,103047.132075472,3
855,18,102894.849056604,3
855,20,102932.698113208,3
855,22,104294.679245283,3
855,24,109184.36,3
855,30,103406.547169811,3
855,67,103598,1
855,153,104151.886792453,2
855,155,104096.830188679,2
855,808,103698.754716981,2
855,811,104265.188679245,2
855,813,104106.056603774,3
855,814,104070.811320755,3
855,815,103637.811320755,2
855,816,107890.039215686,3
855,817,107938.980392157,3
856,1,107163.872727273,2
856,3,107928.127272727,2
